state_code,county_code,total_applications,advantaged_n,disadvantaged_n,advantaged_approval_rate,disadvantaged_approval_rate,approval_disparity_gap
TX,48069.0,2,1,1,1.0,0.0,1.0
TX,48327.0,4,1,3,1.0,0.0,1.0
TX,48357.0,4,3,1,1.0,0.0,1.0
CA,6101.0,57,55,2,0.8545454545454545,0.0,0.8545454545454545
TX,48419.0,12,10,2,0.8,0.0,0.8
TX,48053.0,56,55,1,0.8,0.0,0.8
CA,6087.0,143,140,3,0.7928571428571428,0.0,0.7928571428571428
TX,48337.0,25,24,1,0.7916666666666666,0.0,0.7916666666666666
TX,48035.0,19,18,1,0.7777777777777778,0.0,0.7777777777777778
TX,48019.0,21,20,1,0.75,0.0,0.75
TX,48063.0,6,4,2,0.75,0.0,0.75
TX,48227.0,21,20,1,0.75,0.0,0.75
TX,48059.0,23,22,1,0.7272727272727273,0.0,0.7272727272727273
TX,48007.0,30,29,1,0.7241379310344828,0.0,0.7241379310344828
TX,48031.0,18,17,1,0.7058823529411765,0.0,0.7058823529411765
TX,48057.0,11,10,1,0.7,0.0,0.7
TX,48331.0,14,13,1,0.6923076923076923,0.0,0.6923076923076923
CA,6093.0,24,22,2,0.6818181818181818,0.0,0.6818181818181818
TX,48459.0,36,33,3,0.6666666666666666,0.0,0.6666666666666666
TX,48289.0,23,21,2,0.6666666666666666,0.0,0.6666666666666666
TX,48405.0,5,3,2,0.6666666666666666,0.0,0.6666666666666666
TX,48185.0,34,29,5,0.6551724137931034,0.0,0.6551724137931034
TX,48051.0,17,14,3,0.6428571428571429,0.0,0.6428571428571429
TX,48073.0,41,39,2,0.6410256410256411,0.0,0.6410256410256411
TX,48177.0,9,8,1,0.625,0.0,0.625
TX,48387.0,8,5,3,0.6,0.0,0.6
TX,48403.0,9,7,2,0.5714285714285714,0.0,0.5714285714285714
TX,48395.0,9,7,2,0.5714285714285714,0.0,0.5714285714285714
TX,48347.0,31,26,5,0.7692307692307693,0.2,0.5692307692307692
TX,48241.0,40,39,1,0.5641025641025641,0.0,0.5641025641025641
TX,48469.0,64,59,5,0.711864406779661,0.2,0.5118644067796609
TX,48407.0,35,31,4,0.7096774193548387,0.25,0.45967741935483875
CA,6023.0,59,55,4,0.7090909090909091,0.25,0.4590909090909091
TX,48089.0,12,11,1,0.45454545454545453,0.0,0.45454545454545453
TX,48423.0,202,169,33,0.7633136094674556,0.3333333333333333,0.4299802761341223
CA,6103.0,42,38,4,0.9210526315789473,0.5,0.42105263157894735
TX,48351.0,12,10,2,0.4,0.0,0.4
TX,48161.0,19,14,5,0.7857142857142857,0.4,0.3857142857142857
CA,6031.0,83,77,6,0.8441558441558441,0.5,0.3441558441558441
TX,48005.0,52,46,6,0.6739130434782609,0.3333333333333333,0.34057971014492755
TX,48277.0,27,25,2,0.84,0.5,0.33999999999999997
CA,6047.0,125,118,7,0.7627118644067796,0.42857142857142855,0.3341404358353511
TX,48365.0,7,6,1,0.3333333333333333,0.0,0.3333333333333333
TX,48001.0,38,32,6,0.65625,0.3333333333333333,0.3229166666666667
TX,48199.0,64,61,3,0.6557377049180327,0.3333333333333333,0.3224043715846994
TX,48401.0,30,25,5,0.72,0.4,0.31999999999999995
TX,48071.0,74,65,9,0.7538461538461538,0.4444444444444444,0.3094017094017094
TX,48477.0,42,34,8,0.6764705882352942,0.375,0.30147058823529416
CA,6025.0,77,75,2,0.8,0.5,0.30000000000000004
CA,6035.0,17,15,2,0.8,0.5,0.30000000000000004
TX,48293.0,13,7,6,0.2857142857142857,0.0,0.2857142857142857
TX,48217.0,34,31,3,0.6129032258064516,0.3333333333333333,0.2795698924731183
TX,48147.0,38,36,2,0.7777777777777778,0.5,0.2777777777777778
TX,48309.0,186,163,23,0.8404907975460123,0.5652173913043478,0.2752734062416645
TX,48497.0,103,97,6,0.7731958762886598,0.5,0.2731958762886598
TX,48183.0,88,74,14,0.7702702702702703,0.5,0.2702702702702703
CA,6007.0,137,135,2,0.762962962962963,0.5,0.26296296296296295
TX,48493.0,54,50,4,0.76,0.5,0.26
TX,48203.0,55,40,15,0.725,0.4666666666666667,0.2583333333333333
TX,48471.0,50,44,6,0.75,0.5,0.25
TX,48037.0,55,46,9,0.8043478260869565,0.5555555555555556,0.24879227053140096
CA,6085.0,937,920,17,0.808695652173913,0.5882352941176471,0.22046035805626596
TX,48499.0,50,46,4,0.717391304347826,0.5,0.21739130434782605
TX,48041.0,178,157,21,0.7643312101910829,0.5714285714285714,0.19290263876251146
TX,48149.0,15,13,2,0.6923076923076923,0.5,0.1923076923076923
TX,48381.0,135,130,5,0.7923076923076923,0.6,0.1923076923076923
CA,6055.0,86,83,3,0.8554216867469879,0.6666666666666666,0.1887550200803213
TX,48021.0,114,101,13,0.7227722772277227,0.5384615384615384,0.1843107387661843
TX,48015.0,21,19,2,0.6842105263157895,0.5,0.1842105263157895
TX,48099.0,58,47,11,0.723404255319149,0.5454545454545454,0.17794970986460357
CA,6001.0,856,782,74,0.8043478260869565,0.6351351351351351,0.16921269095182145
CA,6011.0,17,15,2,0.6666666666666666,0.5,0.16666666666666663
CA,6029.0,572,529,43,0.7466918714555766,0.5813953488372093,0.16529652261836725
CA,6083.0,202,194,8,0.788659793814433,0.625,0.16365979381443296
CA,6053.0,168,162,6,0.8271604938271605,0.6666666666666666,0.16049382716049387
TX,48027.0,359,266,93,0.7894736842105263,0.6344086021505376,0.1550650820599887
TX,48373.0,48,46,2,0.6521739130434783,0.5,0.15217391304347827
CA,6071.0,1383,1246,137,0.7455858747993579,0.5985401459854015,0.1470457288139564
CA,6095.0,334,274,60,0.7627737226277372,0.6166666666666667,0.14610705596107054
TX,48291.0,115,97,18,0.4742268041237113,0.3333333333333333,0.140893470790378
TX,48485.0,62,54,8,0.8888888888888888,0.75,0.13888888888888884
TX,48491.0,793,722,71,0.8254847645429363,0.6901408450704225,0.13534391947251379
CA,6107.0,232,218,14,0.7752293577981652,0.6428571428571429,0.13237221494102225
TX,48085.0,1236,1126,110,0.8321492007104796,0.7,0.13214920071047964
CA,6059.0,1722,1682,40,0.7794292508917955,0.65,0.12942925089179547
TX,48231.0,149,129,20,0.7286821705426356,0.6,0.12868217054263564
TX,48249.0,18,16,2,0.625,0.5,0.125
TX,48209.0,292,279,13,0.8172043010752689,0.6923076923076923,0.12489660876757658
TX,48139.0,250,177,73,0.807909604519774,0.684931506849315,0.12297809767045897
TX,48439.0,1612,1334,278,0.7773613193403298,0.6546762589928058,0.12268506034752402
TX,48141.0,478,446,32,0.773542600896861,0.65625,0.117292600896861
TX,48453.0,947,876,71,0.7899543378995434,0.676056338028169,0.11389799987137439
CA,6069.0,47,40,7,0.825,0.7142857142857143,0.11071428571428565
CA,6037.0,4114,3688,426,0.7529826464208242,0.6455399061032864,0.10744274031753787
TX,48303.0,249,226,23,0.8451327433628318,0.7391304347826086,0.10600230858022319
TX,48339.0,799,683,116,0.7569546120058566,0.6551724137931034,0.10178219821275314
