state_code,county_code,total_applications,advantaged_n,disadvantaged_n,advantaged_approval_rate,disadvantaged_approval_rate,approval_disparity_gap
TX,48357.0,4,3,1,1.0,0.0,1.0
TX,48069.0,2,1,1,1.0,0.0,1.0
TX,48327.0,4,1,3,1.0,0.0,1.0
CA,6101.0,57,55,2,0.8545454545454545,0.0,0.8545454545454545
TX,48053.0,56,55,1,0.8,0.0,0.8
TX,48419.0,12,10,2,0.8,0.0,0.8
CA,6087.0,143,140,3,0.7928571428571428,0.0,0.7928571428571428
TX,48337.0,25,24,1,0.7916666666666666,0.0,0.7916666666666666
TX,48035.0,19,18,1,0.7777777777777778,0.0,0.7777777777777778
TX,48227.0,21,20,1,0.75,0.0,0.75
TX,48019.0,21,20,1,0.75,0.0,0.75
TX,48063.0,6,4,2,0.75,0.0,0.75
TX,48059.0,23,22,1,0.7272727272727273,0.0,0.7272727272727273
TX,48007.0,30,29,1,0.7241379310344828,0.0,0.7241379310344828
TX,48031.0,18,17,1,0.7058823529411765,0.0,0.7058823529411765
TX,48057.0,11,10,1,0.7,0.0,0.7
TX,48331.0,14,13,1,0.6923076923076923,0.0,0.6923076923076923
CA,6093.0,24,22,2,0.6818181818181818,0.0,0.6818181818181818
TX,48289.0,23,21,2,0.6666666666666666,0.0,0.6666666666666666
TX,48405.0,5,3,2,0.6666666666666666,0.0,0.6666666666666666
TX,48459.0,36,33,3,0.6666666666666666,0.0,0.6666666666666666
TX,48185.0,34,29,5,0.6551724137931034,0.0,0.6551724137931034
TX,48051.0,17,14,3,0.6428571428571429,0.0,0.6428571428571429
TX,48073.0,41,39,2,0.6410256410256411,0.0,0.6410256410256411
TX,48177.0,9,8,1,0.625,0.0,0.625
