state_code,county_code,total_applications,advantaged_n,disadvantaged_n,advantaged_approval_rate,disadvantaged_approval_rate,approval_disparity_gap
TX,48477.0,3110,2540,570,0.7409448818897638,0.3105263157894737,0.4304185661002901
TX,48051.0,2178,1849,329,0.6511627906976745,0.2735562310030395,0.37760655969463497
TX,48149.0,1587,1429,158,0.7004898530440867,0.3291139240506329,0.37137592899345384
TX,48063.0,1027,911,116,0.7310647639956093,0.3620689655172414,0.3689957984783679
TX,48089.0,1288,1118,170,0.6601073345259392,0.29411764705882354,0.36598968746711563
TX,48145.0,1046,879,167,0.6496018202502845,0.31137724550898205,0.3382245747413024
TX,48351.0,1083,827,256,0.5223700120918985,0.1875,0.3348700120918985
TX,48241.0,3015,2575,440,0.5848543689320388,0.2681818181818182,0.3166725507502206
TX,48225.0,1458,1204,254,0.6096345514950167,0.2952755905511811,0.3143589609438356
TX,48475.0,843,785,58,0.6140127388535032,0.3103448275862069,0.30366791126729625
TX,48405.0,548,432,116,0.5277777777777778,0.22413793103448276,0.303639846743295
TX,48289.0,1451,1308,143,0.5863914373088684,0.2867132867132867,0.2996781505955817
TX,48285.0,1193,1072,121,0.6809701492537313,0.3884297520661157,0.29254039718761565
TX,48161.0,1726,1433,293,0.6406140963014655,0.34812286689419797,0.2924912294072675
TX,48067.0,2366,2019,347,0.6438831104507182,0.3515850144092219,0.2922980960414963
TX,48203.0,5548,4516,1032,0.6950841452612931,0.40310077519379844,0.2919833700674947
TX,48185.0,3348,2964,384,0.6686909581646424,0.3776041666666667,0.2910867914979757
TX,48287.0,1303,1143,160,0.6220472440944882,0.33125,0.2907972440944882
TX,48395.0,1444,1203,241,0.6334164588528678,0.34439834024896265,0.28901811860390514
TX,48449.0,1729,1555,174,0.7697749196141479,0.4827586206896552,0.2870162989244927
TX,48001.0,3654,3093,561,0.6020045263498222,0.3155080213903743,0.28649650495944784
TX,48347.0,3463,3045,418,0.6981937602627257,0.41626794258373206,0.28192581767899366
TX,48293.0,1554,1309,245,0.6417112299465241,0.3673469387755102,0.27436429117101385
TX,48239.0,943,877,66,0.6807297605473204,0.4090909090909091,0.27163885145641126
TX,48123.0,1140,1042,98,0.6583493282149712,0.3877551020408163,0.27059422617415485
